"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000085949",9.56298177593307,-0.669076972432096,53.638898472159,8.12952888812794e-09,7.74838594106253e-05,10.2713660315913
"ENSMUSG00000070645",5.04373524674775,-2.92870023702475,50.6161392689239,1.12464613708967e-08,7.74838594106253e-05,10.1008699161849
"ENSMUSG00000024529",6.01836142993749,1.70483203547006,48.2567513652628,1.46888833005925e-08,7.74838594106253e-05,9.95235429841353
"ENSMUSG00000024397",5.03476819867929,3.44090162234372,43.6773529807124,2.56537051931691e-08,0.000101492471170475,9.6181339397345
"ENSMUSG00000063157",6.49390911263705,-2.2036133040801,40.4385437833718,3.94633178314981e-08,0.000102497730397388,9.33775830126541
"ENSMUSG00000004730",3.11910468909007,6.90803961669928,39.8936123457897,4.25717762436226e-08,0.000102497730397388,9.28641577806029
"ENSMUSG00000001348",4.12575321754774,4.64777748992552,39.4465999966612,4.53386485170122e-08,0.000102497730397388,9.24332862873601
"ENSMUSG00000061132",4.77443996113488,1.350399288696,38.1368936831538,5.47522198618331e-08,0.000108306734914189,9.11182259777338
"ENSMUSG00000052188",6.14927504374023,-2.37593033852851,36.51488539701,6.97969081546354e-08,0.000122726230171901,8.93733128516003
"ENSMUSG00000039116",5.61871784306259,-0.719544946229729,33.6497594021015,1.10147096901852e-07,0.00017430778084718,8.59378174958632
"ENSMUSG00000048498",6.5591340863438,1.36986832118618,31.0925987123462,1.71192484667835e-07,0.000239928616216834,8.24306594029288
"ENSMUSG00000070702",7.41205015516179,-1.74454278281773,30.6848067566022,1.84272532213251e-07,0.000239928616216834,8.18279098625276
"ENSMUSG00000032356",4.73401390446527,-3.08356090816599,29.9917058512447,2.09307889619756e-07,0.000239928616216834,8.07737563601401
"ENSMUSG00000018417",3.00632305357947,0.501851214275206,29.2203995792964,2.42024871589711e-07,0.000239928616216834,7.95548142928577
"ENSMUSG00000035356",2.41647272314795,4.27298997844503,29.0320192316125,2.50908352237465e-07,0.000239928616216834,7.92494884299826
"ENSMUSG00000049037",3.59356298169217,7.03218039248773,28.9912737443655,2.52879968991147e-07,0.000239928616216834,7.91830459520877
"ENSMUSG00000001270",3.1012036087254,6.83783807443522,28.5875896561855,2.73432680156789e-07,0.000239928616216834,7.85169230926035
"ENSMUSG00000066363",3.69164461115591,4.07960787607921,28.1502919600037,2.9795500124619e-07,0.000239928616216834,7.7778915909207
"ENSMUSG00000048070",5.60569095017049,-2.64772238531338,28.0902713008202,3.01519146731936e-07,0.000239928616216834,7.76762609711413
"ENSMUSG00000003617",4.58500394111521,0.69374319518815,27.3653179724063,3.48791359617407e-07,0.000239928616216834,7.64096509571913
"ENSMUSG00000022883",5.15954129741476,-2.56096103029816,27.2448344568222,3.57468480218191e-07,0.000239928616216834,7.619426324355
"ENSMUSG00000025017",1.90623628143347,6.75943631408759,27.2420249390569,3.57673831668743e-07,0.000239928616216834,7.61892237382954
"ENSMUSG00000033278",6.76029725088481,-0.108713734991956,26.9347735378352,3.80993504965772e-07,0.000239928616216834,7.56333897881302
"ENSMUSG00000040552",3.09281226044613,5.99887987885915,26.8361101515381,3.8885836389402e-07,0.000239928616216834,7.54529032452857
"ENSMUSG00000083679",3.06615083051454,1.32007046965653,26.7522033093005,3.95697643308245e-07,0.000239928616216834,7.52986372420087
"ENSMUSG00000018459",9.11905482470842,1.45122451521859,26.7077251927403,3.99380463559145e-07,0.000239928616216834,7.52165724321297
"ENSMUSG00000087362",4.67654165779853,1.67706538522775,26.3924116788833,4.26677796764248e-07,0.000239928616216834,7.46289746130232
"ENSMUSG00000049580",3.31905628479437,1.21276614471532,26.3225610108706,4.33018629246519e-07,0.000239928616216834,7.4497409353926
"ENSMUSG00000094626",-1.82569528855443,-1.48016185644314,-26.2489629973957,4.3982000380222e-07,0.000239928616216834,7.43582318468706
"ENSMUSG00000041729",3.79099067627062,-0.220353760748409,26.0910622235059,4.54840978610111e-07,0.000239928616216834,7.40577010301735
"ENSMUSG00000026548",2.78842695073353,4.50264221098845,25.6041157464377,5.05115702696119e-07,0.000245959565494362,7.31140006170825
"ENSMUSG00000085389",8.55765659048792,-0.80166570046083,25.579911811043,5.07780748493732e-07,0.000245959565494362,7.3066416418111
"ENSMUSG00000003657",7.15573439357395,-1.87270066361165,25.3758169146861,5.30923867535856e-07,0.000245959565494362,7.26625760741148
"ENSMUSG00000008496",1.8203303530085,3.98949818829551,25.31879629909,5.37610076333448e-07,0.000245959565494362,7.25489144825506
"ENSMUSG00000033581",2.71981699412745,2.05642097328731,25.2651906778069,5.4398640077742e-07,0.000245959565494362,7.24417247047998
"ENSMUSG00000032011",2.91632580874458,6.48714673234546,25.0507029486044,5.70406503364548e-07,0.000250741192103999,7.20095555571855
"ENSMUSG00000095834",3.79127706996481,0.492277025619609,24.7815776801711,6.05723665868338e-07,0.000259069648982877,7.14597723117872
"ENSMUSG00000027322",3.36113833741974,2.44462067182403,24.4128097446715,6.58386483294578e-07,0.000261006022060311,7.06925314596042
"ENSMUSG00000020010",5.15089875371951,0.251636907955332,24.1549115697596,6.98430243537783e-07,0.000261006022060311,7.01461855284084
"ENSMUSG00000009092",3.30991319366197,2.27402728319186,24.1454803905989,6.99948117896944e-07,0.000261006022060311,7.0126050951661
"ENSMUSG00000042677",1.61264820454292,5.76689360107806,24.0298216659298,7.1888186744148e-07,0.000261006022060311,6.98782330917977
"ENSMUSG00000049988",2.11811750990736,7.55514884771693,24.0125726957335,7.21756950523822e-07,0.000261006022060311,6.98411314044672
"ENSMUSG00000069662",3.20935429261811,3.87256307953394,23.8896062675536,7.42649938531574e-07,0.000261006022060311,6.95755544395846
"ENSMUSG00000027848",2.23009556424335,-0.188921178028057,23.873749989587,7.45395536640116e-07,0.000261006022060311,6.95411700802837
"ENSMUSG00000026390",10.50619940381,4.60198088012169,23.8599179314658,7.47800390516346e-07,0.000261006022060311,6.95111492579443
"ENSMUSG00000052889",1.93515577991485,4.14280222168554,23.7979297986266,7.58690490665042e-07,0.000261006022060311,6.93763133133516
"ENSMUSG00000060275",-1.53007397252062,2.37053705273578,-23.5623650866722,8.01813156182107e-07,0.000269972195671954,6.88594320959525
"ENSMUSG00000002228",2.19782791735484,1.86440680282602,23.4156681241694,8.30125715589339e-07,0.000272970912677409,6.85339169130849
"ENSMUSG00000085180",4.28884801756384,-3.14565339808669,23.3398557457038,8.45217991860538e-07,0.000272970912677409,6.83645867426984
"ENSMUSG00000032470",5.86931703951376,1.55656727221942,23.0891676529675,8.97474421095693e-07,0.000284050654276787,6.77992325101074
"ENSMUSG00000024672",2.15383926879616,2.80836028483564,22.4631277006708,1.04548386479576e-06,0.000323484426270678,6.63499986408479
"ENSMUSG00000061086",1.66259545988748,2.14378336373359,22.3961879256842,1.06295040543919e-06,0.000323484426270678,6.61917961823943
"ENSMUSG00000032220",1.88868033297357,3.82024351590484,22.2359114196702,1.10618546189687e-06,0.000330290281783357,6.58104000387296
"ENSMUSG00000031880",1.65757205797548,3.45812737679805,21.9281381870481,1.19515175931184e-06,0.000338925761944044,6.50675553875028
"ENSMUSG00000031155",2.12429600194556,6.18140466113268,21.8766364982211,1.21084860178599e-06,0.000338925761944044,6.49418866421689
"ENSMUSG00000036528",2.87229725360256,2.70705616475884,21.821889130397,1.22780136594051e-06,0.000338925761944044,6.4807864396587
"ENSMUSG00000055202",5.54196782457236,-1.70785933609796,21.7899087708684,1.23783341708695e-06,0.000338925761944044,6.47293684404927
"ENSMUSG00000044162",1.62435598122154,4.72759024281448,21.7569788459825,1.24826427916873e-06,0.000338925761944044,6.46483812117169
"ENSMUSG00000072720",-2.75020217280295,0.918983753013783,-21.7091184754458,1.26360947581034e-06,0.000338925761944044,6.45303829488575
