Gene_name	score
THBS1	4.78246532419221
DNAJC5B	4.62243515738305
BCAR1	4.39385565865214
SAMSN1	4.27955744416941
CD1C	3.88283172164014
TGM2	3.70336902296134
PPARG	3.55978262960314
CST7	3.53531155844708
BHLHE40	3.03418004902178
F3	2.9433187845562
CTSS	2.90067582395994
ANXA5	2.89769761635531
DYNLRB1	2.8801914717832
CTSS	2.84241907272274
CTSS	2.68652992443685
MEFV	2.6821443745484
MYO1G	2.61252844019745
SMIM3	2.50164934702414
ITGB7	2.48063043066593
DNAJB6	2.46804943709806
IKBKG	2.46645103623481
CCL2	2.43723325536383
ACADVL	2.41845541863361
TXNIP	2.37907376814919
FMNL1	2.37282983886688
RIT1	2.36868394936135
ASAH1	2.3462037266298
TOM1	2.32896118904141
PTPRE	2.31557832277218
HSD17B10	2.29105814728372
OSMR	2.2632769463784
BTG3	2.2528040457683
TUBA4A	2.19610872507557
TNFSF13B	2.13689160851753
HBEGF	2.10894124225628
H2AFV	2.10140831825705
SLC17A5	2.07687486016453
NAGK	2.07113104704633
CASP1	2.06579883359171
SAT2	2.0647233689436
ST3GAL1	2.03853777614359
OSTM1	2.00752009267153
EVL	1.99949804331723
HIST2H2AA4	1.91028545465873
GNS	1.88799613507895
CCNE2	1.88191200430254
QKI	1.86558898444178
TUBA4A	1.8537140163572
FAP	1.84468236654987
SIRT6	1.83556694018927
MGAT1	1.8185035894044
CDKN2D	1.80732019039697
LGALS8	1.80121912750559
FGL2	1.76002431592944
KIAA1191	1.69927903272822
CD53	1.68063214082557
CD1A	1.67371169055809
GNAI2	1.67014678482672
GLUL	1.65719385805314
SLC16A3	1.63250887086937
CD1D	1.61260703423741
HINT1	1.60763970660857
TRIM22	1.59531638981982
SMPD1	1.59268462611693
CXCR2	1.59239582101865
NPC1	1.57829922767733
MOB3A	1.57249509835318
HIPK2	1.57043377397986
COX20	1.5556976283823
CNTRL	1.54428362341178
ITGA5	1.53565308904553
EVI5L	1.51886358305913
TEAD3	1.51590761033642
CD244	1.51029147325154
CHMP2A	1.49983067279081
CA2	1.4947632253023
PPP1R15A	1.48544115070659
RRAGD	1.4746539860079
EGR1	1.46878427537819
SLC36A1	1.46688257823774
WRB	1.45567002009803
BLVRB	1.43399504211851
ASGR2	1.42541835899425
ATP2A3	1.39585994744428
CYSTM1	1.39027200714893
JUND	1.38565603111854
BSDC1	1.38304042449581
CCDC50	1.38204522129831
VAT1	1.38118395489348
ZFAND3	1.37624863023369
CPQ	1.3704600411633
SS18	1.36804234470366
XYLT1	1.36343103977557
ST8SIA4	1.33197919385301
TROAP	1.33038146790386
TMX4	1.3282942662992
C6orf106	1.32551970132844
PDLIM2	1.31127887019488
RPS21	1.31065147396998
RAB27A	1.30262625511755
CLN3	1.29835022955955
NR1H2	1.28984796589543
CUTA	1.2866888956304
UBE3B	1.27645260294444
FCGR2B	1.26169043405845
ZFAND3	1.26091629910022
ITGAL	1.26047846580311
PDLIM2	1.23114739218323
HNRNPH3	1.22408816133368
SUN2	1.21336685709908
ANKRA2	1.20282467521571
EVI2B	1.19515718706401
MICB	1.18640581878795
LPXN	1.18565898160127
ATP6V1G1	1.16641225408495
MCEMP1	1.16299876550299
WBP2	1.16219526082901
CHMP3	1.15050629633031
NCF1B	1.14570199464787
SLC15A3	1.12771826649188
SDCCAG8	1.12346115794656
SDCBP	1.11713251911916
TTYH3	1.11471871009332
CASP8	1.10916159327786
MGST3	1.10549168644236
LITAF	1.1008634590061
MALAT1	1.09771739412902
DOK2	1.09213380587579
YPEL5	1.0766319232939
ST7	1.07483591288927
JUND	1.0733392554434
HEXA	1.07033998371943
IGFLR1	1.05011235250049
ITGA5	1.01099432284819
LMO2	1.01090630068591
HEXB	1.00158435336245
SPART	0.998884934899146
WARS	0.993757045448555
RTN4	0.993076995554464
PHF1	0.986328782973846
TMEM53	0.984791111773465
MED19	0.978877074900816
ARID3A	0.974229566617646
DCTN4	0.972397735745379
CCM2	0.950937480954463
SUN2	0.94768301664932
ANKRD52	0.942620903657184
CHMP5	0.92856808363802
TNRC18	0.926378094392888
CC2D1B	0.923433195366831
RABGAP1	0.918720996946386
GLB1	0.915611664134146
IFNAR2	0.912698386925921
INPP5A	0.906534309973477
MAN1B1	0.903289161200167
LRCH4	0.899718494535926
RNF149	0.888968191456949
SWAP70	0.853792776023719
MYLIP	0.844529268330793
UXS1	0.841917914886708
GPR137B	0.829967011298586
DDA1	0.822694395493204
TOLLIP	0.819300010321754
NCF1C	0.817024405509953
HEXA	0.797264311844852
FERMT3	0.786302573776557
ZDHHC2	0.785728098725994
ADRM1	0.785509676097119
SNX8	0.785347850451182
DOK2	0.779170899845441
VAMP3	0.777563652289258
DOCK10	0.772001342472241
DDA1	0.770315047466908
TTC39C	0.766620151476681
SDCBP	0.762485452422675
LITAF	0.758608723913215
PRCP	0.736680617246899
TOR1B	0.73073361967433
CLTA	0.728683215104895
NEAT1	0.727360600086708
TMEM59	0.724644119854118
MCRIP1	0.724542359030069
REXO1	0.720624267270339
SCARB2	0.715279760848361
ANXA1	0.713491120202702
TTC9C	0.712931352985578
SON	0.704216624511606
ASH2L	0.70177334656214
ATP11B	0.691661429403641
NCF1B	0.691276372987358
SUMF1	0.690343852386216
KCTD9	0.68957461112262
HLX	0.688713547028797
LACTB	0.683039867574528
TMED4	0.676786724326198
COQ10B	0.669893536568026
RNF14	0.668430998645541
PRC1	0.661403655670043
ISG15	0.649374776184613
RAB12	0.644417271256025
SNRPB2	0.642448794084995
SLC15A3	0.6272864472734
ARL8A	0.616662611404411
IFI35	0.610503643978388
ZCCHC10	0.601558828425457
LSM8	0.596140857958029
PPP2CB	0.595727380379076
SCAMP2	0.594753599479341
