"Transcript","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif"
"ENST00000265643",-2.09369355579867,5.38166790842574,-21.420097156851,1.69962637957221e-08,0.000155344693393472,9.59029278080011,TRUE
"ENST00000590261",-5.24448399005872,1.67368339924031,-20.5891470110157,2.33937785319116e-08,0.000155344693393472,9.3653102290373,TRUE
"ENST00000286713",-1.72183356213366,3.46773585281177,-19.8461206714296,3.14648263397057e-08,0.000155344693393472,9.15086762151187,TRUE
"ENST00000620913",-1.50561107904671,4.68261845847874,-19.6807784831613,3.36589986227122e-08,0.000155344693393472,9.10134239489695,TRUE
"ENST00000344843",-1.45541935609428,7.48980112635625,-18.6929305002585,5.09447528900393e-08,0.000166766931596505,8.79082481662764,TRUE
"ENST00000310624",-1.36192871027415,4.20034178619071,-18.0543637088254,6.73558376935922e-08,0.000166766931596505,8.57590021068177,TRUE
"ENST00000353341",-1.16978472656679,7.62577990276099,-17.9003535009515,7.21503493252667e-08,0.000166766931596505,8.52228794377853,TRUE
"ENST00000347703",-1.2226428469745,5.12911066700506,-17.8967263945454,7.22677781686819e-08,0.000166766931596505,8.52101675642927,TRUE
"ENST00000465384",-1.23970543861421,3.36252196969077,-15.656099112121,2.1065918022591e-07,0.000419572938786276,7.65341145860416,TRUE
"ENST00000450162",-1.19532620882794,4.42829584032772,-15.5076273178712,2.27275304038934e-07,0.000419572938786276,7.58956996728871,TRUE
"ENST00000266025",-1.13969963368795,4.23338073332191,-14.9963862823148,2.96756908204085e-07,0.000498039025668692,7.36300731419155,TRUE
"ENST00000311487",-0.841300310646468,7.89399459727088,-14.1824223334061,4.62064727408593e-07,0.000581679979675352,6.97945770255559,FALSE
"ENST00000445132",-1.26127071334486,3.44681417817737,-14.1230949804275,4.776593220321e-07,0.000581679979675352,6.95034326217274,TRUE
"ENST00000312579",-0.895104523223556,6.14569578320158,-14.0500908051261,4.97661793322771e-07,0.000581679979675352,6.91429260572374,FALSE
"ENST00000310574",-0.828963974647103,4.78964800533882,-13.9900691343929,5.14809502514229e-07,0.000581679979675352,6.88446597977715,FALSE
"ENST00000219252",-0.854246285166373,5.33285316280561,-13.9863089362924,5.1590553384223e-07,0.000581679979675352,6.88259177417154,FALSE
"ENST00000334350",0.884329698432902,5.72506443422351,13.8298303319266,5.6391311900413e-07,0.000581679979675352,6.80400200084948,FALSE
"ENST00000409483",-0.955317309531716,5.11656133673399,-13.7784227354104,5.8075852659701e-07,0.000581679979675352,6.77792693430215,FALSE
"ENST00000258787",0.807503358015137,6.17070977499344,13.700403909713,6.07408555709185e-07,0.000581679979675352,6.73810918973517,FALSE
"ENST00000563281",-1.07425818512562,4.06694294030871,-13.5801346721143,6.5120870056879e-07,0.000581679979675352,6.67614414974605,TRUE
"ENST00000397511",-1.30920516930095,4.24905235926972,-13.5527179603135,6.6168027588876e-07,0.000581679979675352,6.66191838128345,TRUE
"ENST00000367826",-1.6368935877611,3.01702567231582,-13.2369543365274,7.96864446639747e-07,0.00066867793406438,6.49534473406518,TRUE
"ENST00000526627",0.806444353721545,5.15539396327024,12.7963707184741,1.04002673398448e-06,0.000790545528840529,6.25423848390157,FALSE
"ENST00000283632",-1.16277770025965,3.54956951708857,-12.7709593281771,1.05639440033188e-06,0.000790545528840529,6.24001320673757,TRUE
"ENST00000594786",-0.963364398036867,4.22743104614314,-12.6077895072245,1.16860422758396e-06,0.000790545528840529,6.14781913526062,FALSE
"ENST00000258083",-0.850230434853412,4.05247761838258,-12.5873294323701,1.18358990985196e-06,0.000790545528840529,6.13615386377513,FALSE
"ENST00000267023",-0.98325409141263,4.46597779266736,-12.5386961144004,1.22007911715735e-06,0.000790545528840529,6.10833087262119,FALSE
"ENST00000609024",-1.35299411213167,4.98631577114144,-12.5238352797259,1.23147825238679e-06,0.000790545528840529,6.09980231118154,TRUE
"ENST00000578542",-0.937946083283686,5.07003177113346,-12.5104447111613,1.24185148888876e-06,0.000790545528840529,6.09210678081887,FALSE
"ENST00000562866",-1.15772899641971,4.80263001956268,-12.4014578701776,1.33000200442472e-06,0.000811802482872376,6.02909109217054,TRUE
"ENST00000220514",-0.87957156385315,4.23364253176752,-12.3624969228898,1.36319142890654e-06,0.000811802482872376,6.00639814725424,FALSE
"ENST00000261692",-1.08459698914302,4.99434003403324,-12.2717634962907,1.44412625716769e-06,0.000833125463549145,5.95320788807084,TRUE
"ENST00000318978",-1.42337179457301,3.12932125023574,-12.2043814887594,1.50770342340256e-06,0.000843445845437412,5.91339427769148,TRUE
"ENST00000530996",-1.59214728119841,4.36642491223013,-12.0432211686454,1.67282111710941e-06,0.000908292665969319,5.81707462218657,TRUE
"ENST00000580965",-0.998096531443657,3.80619610961687,-11.9638378690235,1.76149814270564e-06,0.000929114777499679,5.76905422297891,FALSE
"ENST00000369626",-1.02491961715184,4.40407944448292,-11.9179200925151,1.81517861561463e-06,0.000930833678412826,5.74110198952057,TRUE
"ENST00000334828",-0.727199239867313,9.14315996260578,-11.5983467320351,2.24350714475623e-06,0.00108868149284242,5.54292388237509,FALSE
"ENST00000206380",-0.830249988859751,4.93463813371377,-11.5846547888032,2.26422797222115e-06,0.00108868149284242,5.53428843864307,FALSE
"ENST00000285873",-0.825404359277443,4.16135152735667,-11.5614032031139,2.2999067342427e-06,0.00108868149284242,5.5195961113197,FALSE
"ENST00000312037",-0.896153867625151,5.44850189625308,-11.4615650487457,2.4603976022876e-06,0.00113553500339578,5.45611167822872,FALSE
