"Transcript","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif","cluster"
"ENST00000371732",-2.51880160708169,3.79998766880754,-31.1969910277658,7.43002255398187e-10,1.37165646369059e-05,11.6996986398506,TRUE,"B"
"ENST00000397406",-1.92950517424826,4.28175665740191,-24.6234703062262,5.1353597701609e-09,4.74019383584702e-05,10.5626916253144,TRUE,"B"
"ENST00000366903",1.67687549632362,3.347192083336,23.0483376540123,8.79744115470224e-09,4.8391020795626e-05,10.2018420087859,TRUE,"D"
"ENST00000319340",-1.47938703907743,4.58035841387236,-22.5563781887247,1.04850269856727e-08,4.8391020795626e-05,10.0801749276985,TRUE,"B"
"ENST00000290705",-2.27913358012915,3.71374621810836,-20.6228404189365,2.17072359927908e-08,8.01474567325821e-05,9.55511676216705,TRUE,"B"
"ENST00000367027",-2.1947253588,5.21981691915018,-16.8994062900689,1.084035311039e-07,0.000229954176910803,8.28508764066604,TRUE,"B"
"ENST00000264187",-1.13221980243315,3.61412950744824,-16.627759646157,1.23483362020839e-07,0.000229954176910803,8.17614565276656,TRUE,"B"
"ENST00000265643",-1.5521340907227,5.45605491397993,-16.6097663069656,1.2456214555593e-07,0.000229954176910803,8.16883975384651,TRUE,"B"
"ENST00000368171",1.3655807968335,5.22344491521119,15.6428517967799,2.01512097276639e-07,0.000338192257074912,7.75904623171156,TRUE,"D"
"ENST00000230990",1.23243673359637,3.29575741033793,14.9575931156231,2.8830938444941e-07,0.000375639656058583,7.44684873779551,TRUE,"D"
"ENST00000397760",1.00734881134665,4.42097077483332,14.6458415222393,3.41075310965375e-07,0.000393536957233237,7.29837616013236,TRUE,"D"
"ENST00000285930",-0.914592365795824,6.55073707979906,-14.1996969883156,4.36385105358346e-07,0.000448053009675856,7.07848483609237,FALSE,"B"
"ENST00000621465",-0.886106356621286,4.37619953869358,-13.840094641968,5.35093579280835e-07,0.000482246126142497,6.89460534384652,FALSE,"B"
"ENST00000538442",0.985011821329949,3.43825470088019,13.6371946754162,6.01649108114489e-07,0.000482246126142497,6.78812942342335,FALSE,"D"
